"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 14:29:26 EDT 2023","Tue Aug 15 14:29:26 EDT 2023","615","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:31:54 EDT 2023","Tue Aug 15 14:31:55 EDT 2023","211","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","loginlnk_click","loginlnk_click",""
"passed","Tue Aug 15 14:32:24 EDT 2023","Tue Aug 15 14:32:25 EDT 2023","695","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","pass_field_empty","pass_field_empty",""
"passed","Tue Aug 15 14:31:23 EDT 2023","Tue Aug 15 14:31:24 EDT 2023","901","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_numbers","pass_numbers",""
"passed","Tue Aug 15 14:29:48 EDT 2023","Tue Aug 15 14:29:48 EDT 2023","675","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_dropdown_select","home_dropdown_select",""
"passed","Tue Aug 15 14:30:43 EDT 2023","Tue Aug 15 14:30:44 EDT 2023","994","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","pass_empty","pass_empty",""
"passed","Tue Aug 15 14:28:04 EDT 2023","Tue Aug 15 14:28:08 EDT 2023","3602","Command line suite","Command line test","Pages_Tests.DataStructures_Test","Pages_Tests.DataStructures_Test","Time_Comp_click","Time_Comp_click",""
"passed","Tue Aug 15 14:32:02 EDT 2023","Tue Aug 15 14:32:03 EDT 2023","1298","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","valid_login","valid_login",""
"passed","Tue Aug 15 14:32:33 EDT 2023","Tue Aug 15 14:32:34 EDT 2023","759","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","invalid_entry","invalid_entry",""
"passed","Tue Aug 15 14:31:47 EDT 2023","Tue Aug 15 14:31:47 EDT 2023","860","Command line suite","Command line test","Pages_Tests.Register_Test","Pages_Tests.Register_Test","valid_entry","valid_entry",""
"passed","Tue Aug 15 14:32:16 EDT 2023","Tue Aug 15 14:32:17 EDT 2023","721","Command line suite","Command line test","Pages_Tests.SignIn_Test","Pages_Tests.SignIn_Test","all_field_empty","all_field_empty",""
"passed","Tue Aug 15 14:28:28 EDT 2023","Tue Aug 15 14:28:29 EDT 2023","727","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","home_click_getstarted","home_click_getstarted",""
"passed","Tue Aug 15 14:30:10 EDT 2023","Tue Aug 15 14:30:10 EDT 2023","618","Command line suite","Command line test","Pages_Tests.HomePage_Test","Pages_Tests.HomePage_Test","signin_launch","signin_launch",""
